t,u,theta,phi
0,0,0,0
0.01,0,-0.0003022797,-0.000143528
0.02,0,-0.0004037363,-0.000143528
0.03,0,-0.0003566294,-0.000143528
0.04,0,-0.000142742,-0.000143528
0.05,0,0.0002298134,-0.000143528
0.06,0,0.0002407732,-0.000143528
0.07,0,0.0001034683,-0.000143528
0.08,0,-0.0003465848,-0.000143528
0.09,0,-0.000165779,-0.000143528
0.1,0,-5.403441e-05,-0.000143528
0.11,0,0.0001497027,-0.000143528
0.12,0,3.815167e-05,-0.000143528
0.13,0,-0.0001975022,-0.000143528
0.14,0,-0.0002331148,-0.000143528
0.15,0,-0.0001358159,-0.000143528
0.16,0,-8.5926e-05,-0.000143528
0.17,0,-0.0001820716,-0.000143528
0.18,0,-0.0001974055,-0.000143528
0.19,0,-0.0001798143,-0.000143528
0.2,0,-0.0001899496,-0.000143528
0.21,0,-0.0001813054,-0.000143528
0.22,0,-0.0001715333,-0.000143528
0.23,0,-0.0001080173,-0.000143528
0.24,0,-0.0001387958,-0.000143528
0.25,0,-0.0001668168,-0.000143528
0.26,0,-0.0002393204,-0.000143528
0.27,0,-0.0001399807,-0.000143528
0.28,0,-0.0001348882,-0.000143528
0.29,0,-0.0002255977,-0.000143528
0.3,0,-0.0002539976,-0.000143528
0.31,0,-0.0002183036,-0.000143528
0.32,0,-0.0002061519,-0.000143528
0.33,0,-0.0002068181,-0.000143528
0.34,0,-0.0002017008,-0.000143528
0.35,0,-0.0001817512,-0.000143528
0.36,0,-0.0002378543,-0.000143528
0.37,0,-0.0002876114,-0.000143528
0.38,0,-0.0002935794,-0.000143528
0.39,0,-0.0003388967,0.004718542
0.4,0,-0.000378921,-0.000143528
0.41,0,-0.0003233787,-0.000143528
0.42,0,-0.0003948205,-0.000143528
0.43,0,-0.0003438204,-0.000143528
0.44,0,-0.0003741839,-0.000143528
0.45,0,-0.0003925996,-0.000143528
0.46,0,-0.0003639034,-0.000143528
0.47,0,-0.0003483872,-0.000143528
0.48,0,-0.0003145767,-0.000143528
0.49,0,-0.000329603,-0.000143528
0.5,0,-0.0002309696,-0.000143528
0.51,0,-0.000239084,-0.000143528
0.52,0,-0.000271875,-0.000143528
0.53,0,-0.0002987526,0.004718542
0.54,0,-0.0001883511,-0.000143528
0.55,0,-0.0001304562,-0.000143528
0.56,0,-0.0001972631,-0.000143528
0.57,0,-0.0002827846,-0.000143528
0.58,0,-0.0002489466,-0.000143528
0.59,0,-0.0002544661,-0.000143528
0.6,0,-0.0003279498,-0.000143528
0.61,0,-0.0003332061,-0.000143528
0.62,0,-0.0003004569,-0.000143528
0.63,0,-0.0002987931,0.004718542
0.64,0,-0.0002351456,0.004718542
0.65,0,-0.0001142704,-0.005006075
0.66,0,-0.0001093285,-0.000143528
0.67,0,-0.000119087,-0.000143528
0.68,0,-0.0001259428,-0.000143528
0.69,0,-9.387145e-05,-0.000143528
0.7,0,-0.0001061474,-0.000143528
0.71,0,-0.0002237391,-0.000143528
0.72,0,-0.0002965209,-0.000143528
0.73,0,-0.0002897833,-0.000143528
0.74,0,-0.0002997227,-0.000143528
0.75,0,-0.0002794511,-0.000143528
0.76,0,-0.0002835802,-0.000143528
0.77,0,-0.000316018,-0.000143528
0.78,0,-0.0002843723,-0.000143528
0.79,0,-0.0002396926,-0.000143528
0.8,0,-0.000212339,-0.000143528
0.81,0,-0.0002190326,-0.000143528
0.82,0,-0.0001624346,-0.000143528
0.83,0,-9.51881e-05,-0.000143528
0.84,0,-0.0001028515,-0.005006075
0.85,0,-0.000175851,-0.000143528
0.86,0,-0.0001644763,-0.000143528
0.87,0,-0.0001006849,-0.000143528
0.88,0,-0.0001241807,-0.005006075
0.89,0,-0.0001499332,-0.000143528
0.9,0,-0.000186266,-0.000143528
0.91,0,-0.0001637662,-0.000143528
